interview_id,name,age,gender,role_applied,industry_skills,jd,interview_date,transcript
INT1027,Anaya Kapoor,42,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2023-11-23,"Anaya Kapoor: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What is a weakness you are working on?
Anaya Kapoor: I ... can be cautious with deadlines, and I'm working on prioritization.
Interviewer: Tell me about a recent technical/project you worked on.
Anaya Kapoor: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Candidate: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Tell me about a recent technical/project you worked on.
Anaya Kapoor: My well last project involved agile and cross-functional coordination.
Interviewer: What are your key strengths?
Candidate: I am detail-oriented and I communicate well with stakeholders.
Interviewer: How do you work with cross-functional teams?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?
Anaya Kapoor: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Anaya Kapoor: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: What are your key strengths?
Anaya Kapoor: My strengths are leadership and agile.
Interviewer: Describe your role in your last project.
Anaya Kapoor: My last project involved agile and cross-functional coordination.
Interviewer: How do you approach learning a new skill?
Interviewer: That concludes our questions. Do you have anything to ask us?
Anaya Kapoor: No, thank you. I look forward to hearing from you."
INT1028,Kavya Khan,31,Male,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2025-06-22,"Kavya Khan: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: Describe your role in your last project.
Kavya Khan: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: Do you have any questions for us?
Kavya Khan: Thank ... you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: Tell me about a recent technical/project you worked on.
Kavya Khan: I developed a tool using leadership that automated a lot of manual work.
Interviewer: How do you handle deadlines and pressure?
Kavya Khan: My last project involved agile and cross-functional coordination.
Interviewer: What is a weakness you are working on?
Kavya Khan: I so can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What is a weakness you are working on?
Kavya Khan: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What are your key strengths?
Kavya Khan: I enjoy problem-solving and collaborating with teams.
Interviewer: Can you walk me through a challenging problem you solved?
Kavya Khan: I ... led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: That concludes our questions. Do you have anything to ask us?
Kavya Khan: Yes, I would like to know more about the team I’d be working with."
INT1029,Meera Pandey,41,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2025-07-23,"Meera Pandey: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: To begin, can you tell me about yourself?
Candidate: I have around 2 years of experience focusing on leadership, agile.
Interviewer: What motivates you at work?
Meera Pandey: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What motivates you at work?
Meera Pandey: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Meera Pandey: I you know am detail-oriented and I communicate well with stakeholders.
Interviewer: Which tools and technologies do you use?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Meera Pandey: I take hands-on courses and apply them to projects.
Interviewer: Can you walk me through a challenging problem you solved?
Meera Pandey: For technical tasks I usually rely on leadership and complement it with agile.
Interviewer: To begin, can you tell me about yourself?
Meera Pandey: I graduated in Computer Science and have worked on projects involving leadership, agile.
Interviewer: To begin, can you tell me about yourself?
Candidate: I am a Project with experience in leadership, agile.
Interviewer: How do you work with cross-functional teams?
Meera Pandey: I enjoy mentoring juniors and helping the team grow.
Interviewer: Tell me about a recent technical/project you worked on.
Interviewer: That concludes our questions. Do you have anything to ask us?
Meera Pandey: Yes, I would like to know more about the team I’d be working with."
INT1030,Lavanya Gupta,44,Female,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2023-10-05,"Lavanya Gupta: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: What motivates you at work?
Candidate: In I mean the next 5 years, I aim to grow into a leadership role.
Interviewer: Tell me about a recent technical/project you worked on.
Lavanya Gupta: I worked on projects using data analysis, sql, excel.
Interviewer: Do you have any questions for us?
Lavanya Gupta: I look forward to hearing from you. Thank you.
Interviewer: How do you work with cross-functional teams?
Lavanya Gupta: I so tend to overanalyze but I've improved by setting time-boxes.
Interviewer: To begin, can you tell me about yourself?
Lavanya Gupta: I uh graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: Do you have any questions for us?
Lavanya Gupta: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Lavanya Gupta: I ... developed a tool using data analysis that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Candidate: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: Do you have any questions for us?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: What is a weakness you are working on?
Candidate: I tend to overanalyze but I've improved by setting time-boxes."
INT1031,Pooja Kapoor,34,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-04-04,"Pooja Kapoor: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: How do you handle deadlines and pressure?
Pooja Kapoor: I well led a project where we used branding to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Pooja Kapoor: I uh want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Pooja Kapoor: I am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving branding, campaigns.
Interviewer: What motivates you at work?
Candidate: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Which tools and technologies do you use?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Candidate: I developed a tool using branding that automated a lot of manual work.
Interviewer: Which tools and technologies do you use?
Pooja Kapoor: I use Git for version control and Jenkins for CI/CD.
Interviewer: Tell me about a recent technical/project you worked on.
Pooja Kapoor: I well developed a tool using branding that automated a lot of manual work.
Interviewer: Do you have any questions for us?
Pooja Kapoor: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?"
INT1032,Rohan Saxena,41,Male,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2024-09-09,"Rohan Saxena: Hi, thanks for having me today.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you handle deadlines and pressure?
Rohan Saxena: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: How do you approach learning a new skill?
Rohan Saxena: I take hands-on courses and apply them to projects.
Interviewer: How do you work with cross-functional teams?
Rohan Saxena: I enjoy mentoring juniors and helping the team grow.
Interviewer: Can you walk me through a challenging problem you solved?
Rohan Saxena: For technical tasks I usually rely on employee engagement and complement it with communication.
Interviewer: How do you approach learning a new skill?
Rohan Saxena: I take hands-on courses and apply them to projects.
Interviewer: How do you work with cross-functional teams?
Candidate: I so learn by building small projects and iterating quickly.
Interviewer: How do you work with cross-functional teams?
Rohan Saxena: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Rohan Saxena: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: How do you handle deadlines and pressure?
Rohan Saxena: In you know the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you handle deadlines and pressure?
Rohan Saxena: I so tend to overanalyze but I've improved by setting time-boxes.
Interviewer: How do you work with cross-functional teams?
Interviewer: That concludes our questions. Do you have anything to ask us?
Rohan Saxena: No, thank you. I look forward to hearing from you."
INT1033,Vivaan Chopra,35,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-09-22,"Vivaan Chopra: Good morning! Thank you for this opportunity.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: What motivates you at work?
Vivaan Chopra: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: I have hands-on experience with branding and campaigns.
Interviewer: What are your key strengths?
Candidate: My strengths are branding and campaigns.
Interviewer: Describe your role in your last project.
Vivaan Chopra: I developed a tool using branding that automated a lot of manual work.
Interviewer: How do you approach learning a new skill?
Vivaan Chopra: I so learn by building small projects and iterating quickly.
Interviewer: How do you handle deadlines and pressure?
Candidate: I enjoy problem-solving and collaborating with teams.
Interviewer: How do you handle deadlines and pressure?
Vivaan Chopra: I enjoy problem-solving and collaborating with teams.
Interviewer: What motivates you at work?
Vivaan Chopra: In the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you approach learning a new skill?
Candidate: I learn by building small projects and iterating quickly.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: My last project involved campaigns and cross-functional coordination.
Interviewer: Do you have any questions for us?
Vivaan Chopra: I you know look forward to hearing from you. Thank you."
INT1034,Ritika Dutta,44,Female,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2024-08-14,"Ritika Dutta: Good morning! Thank you for this opportunity.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you handle deadlines and pressure?
Ritika Dutta: I so coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: What motivates you at work?
Ritika Dutta: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Ritika Dutta: I look forward to hearing from you. Thank you.
Interviewer: What is a weakness you are working on?
Ritika Dutta: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: Do you have any questions for us?
Ritika Dutta: Thank you for your time. I'm excited about this opportunity.
Interviewer: What are your key strengths?
Ritika Dutta: My strengths are branding and campaigns.
Interviewer: How do you work with cross-functional teams?
Ritika Dutta: I look forward to hearing from you. Thank you.
Interviewer: What motivates you at work?
Ritika Dutta: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What is a weakness you are working on?
Ritika Dutta: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: How do you handle deadlines and pressure?
Interviewer: That concludes our questions. Do you have anything to ask us?
Ritika Dutta: Yes, I would like to know more about the team I’d be working with."
INT1035,Riya Malhotra,37,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2025-09-13,"Riya Malhotra: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you work with cross-functional teams?
Candidate: I learn by building small projects and iterating quickly.
Interviewer: To begin, can you tell me about yourself?
Riya Malhotra: I you know graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: What is a weakness you are working on?
Riya Malhotra: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What motivates you at work?
Riya Malhotra: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What motivates you at work?
Riya Malhotra: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Tell me about a recent technical/project you worked on.
Riya Malhotra: For technical tasks I usually rely on data analysis and complement it with sql.
Interviewer: Which tools and technologies do you use?
Riya Malhotra: I use SQL and Excel for analysis and reporting.
Interviewer: What are your key strengths?
Riya Malhotra: I enjoy problem-solving and collaborating with teams.
Interviewer: Describe your role in your last project.
Riya Malhotra: For technical tasks I usually rely on data analysis and complement it with sql.
Interviewer: Do you have any questions for us?
Riya Malhotra: Thank you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?"
INT1036,Arjun Bhandari,33,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2024-07-05,"Arjun Bhandari: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: Which tools and technologies do you use?
Arjun Bhandari: I use SQL and Excel for analysis and reporting.
Interviewer: Can you walk me through a challenging problem you solved?
Arjun Bhandari: I worked on projects using leadership, agile, project planning.
Interviewer: Can you walk me through a challenging problem you solved?
Arjun Bhandari: I I mean led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: Can you walk me through a challenging problem you solved?
Arjun Bhandari: My last project involved agile and cross-functional coordination.
Interviewer: How do you work with cross-functional teams?
Arjun Bhandari: I take hands-on courses and apply them to projects.
Interviewer: Describe your role in your last project.
Arjun Bhandari: I worked on projects using leadership, agile, project planning.
Interviewer: To begin, can you tell me about yourself?
Arjun Bhandari: I am a Project with experience in leadership, agile.
Interviewer: Can you walk me through a challenging problem you solved?
Arjun Bhandari: For technical tasks I usually rely on leadership and complement it with agile.
Interviewer: Tell me about a recent technical/project you worked on.
Arjun Bhandari: I developed a tool using leadership that automated a lot of manual work.
Interviewer: Do you have any questions for us?
Arjun Bhandari: I look forward to hearing from you. Thank you."
INT1037,Myra Nair,23,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2023-01-17,"Myra Nair: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you approach learning a new skill?
Myra Nair: I so learn by building small projects and iterating quickly.
Interviewer: Can you walk me through a challenging problem you solved?
Myra Nair: I led a project where we used data analysis to deliver a solution that improved metrics.
Interviewer: How do you handle deadlines and pressure?
Myra Nair: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: Tell me about a recent technical/project you worked on.
Myra Nair: My you know last project involved sql and cross-functional coordination.
Interviewer: What is a weakness you are working on?
Myra Nair: Sometimes I get too focused on details, but I try to delegate.
Interviewer: To begin, can you tell me about yourself?
Myra Nair: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: How do you work with cross-functional teams?
Myra Nair: Sometimes uh I get too focused on details, but I try to delegate.
Interviewer: What are your key strengths?
Myra Nair: My strengths are data analysis and sql.
Interviewer: How do you work with cross-functional teams?
Myra Nair: I ... tend to overanalyze but I've improved by setting time-boxes.
Interviewer: Do you have any questions for us?
Myra Nair: Thank you for your time. I'm excited about this opportunity.
Interviewer: Can you walk me through a challenging problem you solved?"
INT1038,Anaya Verma,45,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2024-09-22,"Anaya Verma: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What are your key strengths?
Anaya Verma: I enjoy problem-solving and collaborating with teams.
Interviewer: How do you work with cross-functional teams?
Anaya Verma: I coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: Can you walk me through a challenging problem you solved?
Anaya Verma: My last project involved sql and cross-functional coordination.
Interviewer: Describe your role in your last project.
Anaya Verma: I ... developed a tool using data analysis that automated a lot of manual work.
Interviewer: Describe your role in your last project.
Anaya Verma: I led a project where we used data analysis to deliver a solution that improved metrics.
Interviewer: Tell me about a recent technical/project you worked on.
Anaya Verma: I led a project where we used data analysis to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Candidate: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: How do you approach learning a new skill?
Candidate: I take hands-on courses and apply them to projects.
Interviewer: Tell me about a recent technical/project you worked on."
INT1039,Aisha Agarwal,23,Female,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2024-06-02,"Aisha Agarwal: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you work with cross-functional teams?
Aisha Agarwal: I ... use SQL and Excel for analysis and reporting.
Interviewer: What is a weakness you are working on?
Aisha Agarwal: Sometimes I get too focused on details, but I try to delegate.
Interviewer: Tell me about a recent technical/project you worked on.
Aisha Agarwal: For technical tasks I usually rely on data analysis and complement it with sql.
Interviewer: Can you walk me through a challenging problem you solved?
Aisha Agarwal: I worked on projects using data analysis, sql, excel.
Interviewer: Tell me about a recent technical/project you worked on.
Aisha Agarwal: I ... developed a tool using data analysis that automated a lot of manual work.
Interviewer: Which tools and technologies do you use?
Candidate: I use Git for version control and Jenkins for CI/CD.
Interviewer: To begin, can you tell me about yourself?
Candidate: I am a Data with experience in data analysis, sql.
Interviewer: How do you handle deadlines and pressure?
Aisha Agarwal: I you know want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Which tools and technologies do you use?
Candidate: I regularly use tools like JIRA and Trello for tracking.
Interviewer: How do you work with cross-functional teams?
Aisha Agarwal: I led a project where we used data analysis to deliver a solution that improved metrics.
Interviewer: Can you walk me through a challenging problem you solved?
Aisha Agarwal: My last project involved sql and cross-functional coordination.
Interviewer: That concludes our questions. Do you have anything to ask us?
Aisha Agarwal: Yes, I would like to know more about the team I’d be working with."
INT1040,Saanvi Rao,33,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2025-07-04,"Saanvi Rao: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: Tell me about a recent technical/project you worked on.
Candidate: I have hands-on experience with branding and campaigns.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving branding, campaigns.
Interviewer: To begin, can you tell me about yourself?
Saanvi Rao: I have around 6 years of experience focusing on branding, campaigns.
Interviewer: How do you handle deadlines and pressure?
Saanvi Rao: For technical tasks I usually rely on branding and complement it with campaigns.
Interviewer: Do you have any questions for us?
Saanvi Rao: Thank you for your time. I'm excited about this opportunity.
Interviewer: What is a weakness you are working on?
Saanvi Rao: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What are your key strengths?
Saanvi Rao: My strengths are branding and campaigns.
Interviewer: What are your key strengths?
Saanvi Rao: My you know strengths are branding and campaigns.
Interviewer: Which tools and technologies do you use?
Saanvi Rao: I I mean use Git for version control and Jenkins for CI/CD.
Interviewer: That concludes our questions. Do you have anything to ask us?
Saanvi Rao: No, thank you. I look forward to hearing from you."
INT1041,Ishita Bhatt,28,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2025-02-17,"Ishita Bhatt: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you work with cross-functional teams?
Ishita Bhatt: I have around 3 years of experience focusing on leadership, agile.
Interviewer: To begin, can you tell me about yourself?
Ishita Bhatt: I am a Project with experience in leadership, agile.
Interviewer: Describe your role in your last project.
Ishita Bhatt: I have hands-on experience with leadership and agile.
Interviewer: How do you approach learning a new skill?
Candidate: I take hands-on courses and apply them to projects.
Interviewer: Tell me about a recent technical/project you worked on.
Ishita Bhatt: I worked on projects using leadership, agile, project planning.
Interviewer: Describe your role in your last project.
Candidate: My well last project involved agile and cross-functional coordination.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: Which tools and technologies do you use?
Ishita Bhatt: I use SQL and Excel for analysis and reporting.
Interviewer: Describe your role in your last project.
Candidate: I you know developed a tool using leadership that automated a lot of manual work.
Interviewer: That concludes our questions. Do you have anything to ask us?
Ishita Bhatt: Yes, I would like to know more about the team I’d be working with."
INT1042,Myra Rao,26,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2024-04-22,"Myra Rao: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: What motivates you at work?
Myra Rao: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What are your key strengths?
Myra Rao: I enjoy problem-solving and collaborating with teams.
Interviewer: Describe your role in your last project.
Myra Rao: I have hands-on experience with data analysis and sql.
Interviewer: What are your key strengths?
Myra Rao: I enjoy problem-solving and collaborating with teams.
Interviewer: To begin, can you tell me about yourself?
Myra Rao: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: To begin, can you tell me about yourself?
Myra Rao: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: What are your key strengths?
Candidate: I enjoy problem-solving and collaborating with teams.
Interviewer: To begin, can you tell me about yourself?
Myra Rao: I well am a Data with experience in data analysis, sql.
Interviewer: Can you walk me through a challenging problem you solved?
Myra Rao: For technical tasks I usually rely on data analysis and complement it with sql.
Interviewer: That concludes our questions. Do you have anything to ask us?
Myra Rao: Yes, I would like to know more about the team I’d be working with."
INT1043,Reyansh Saxena,22,Other,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2025-07-13,"Reyansh Saxena: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What are your key strengths?
Candidate: I well enjoy problem-solving and collaborating with teams.
Interviewer: Do you have any questions for us?
Reyansh Saxena: I look forward to hearing from you. Thank you.
Interviewer: How do you work with cross-functional teams?
Reyansh Saxena: Sometimes I get too focused on details, but I try to delegate.
Interviewer: How do you approach learning a new skill?
Reyansh Saxena: I take hands-on courses and apply them to projects.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: My last project involved java and cross-functional coordination.
Interviewer: How do you work with cross-functional teams?
Reyansh Saxena: Sometimes I get too focused on details, but I try to delegate.
Interviewer: Tell me about a recent technical/project you worked on.
Reyansh Saxena: I have hands-on experience with python and java.
Interviewer: How do you handle deadlines and pressure?
Reyansh Saxena: I learn by building small projects and iterating quickly.
Interviewer: How do you handle deadlines and pressure?
Reyansh Saxena: I ... regularly use tools like JIRA and Trello for tracking.
Interviewer: Which tools and technologies do you use?
Interviewer: That concludes our questions. Do you have anything to ask us?
Reyansh Saxena: Yes, I would like to know more about the team I’d be working with."
INT1044,Myra Singh,37,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2023-08-27,"Myra Singh: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: Can you walk me through a challenging problem you solved?
Myra Singh: My you know last project involved agile and cross-functional coordination.
Interviewer: How do you work with cross-functional teams?
Myra Singh: I I mean enjoy mentoring juniors and helping the team grow.
Interviewer: Describe your role in your last project.
Myra Singh: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: Do you have any questions for us?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you approach learning a new skill?
Candidate: I uh learn by building small projects and iterating quickly.
Interviewer: Tell me about a recent technical/project you worked on.
Myra Singh: For technical tasks I usually rely on leadership and complement it with agile.
Interviewer: Do you have any questions for us?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Myra Singh: I am a Project with experience in leadership, agile.
Interviewer: What are your key strengths?
Myra Singh: My strengths are leadership and agile.
Interviewer: Can you walk me through a challenging problem you solved?
Interviewer: That concludes our questions. Do you have anything to ask us?
Myra Singh: No, thank you. I look forward to hearing from you."
INT1045,Neha Kapoor,40,Male,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2023-11-27,"Neha Kapoor: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: Can you walk me through a challenging problem you solved?
Neha Kapoor: I ... worked on projects using employee engagement, communication, recruitment.
Interviewer: Do you have any questions for us?
Neha Kapoor: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you work with cross-functional teams?
Candidate: My last project involved communication and cross-functional coordination.
Interviewer: To begin, can you tell me about yourself?
Neha Kapoor: I have around 7 years of experience focusing on employee engagement, communication.
Interviewer: Do you have any questions for us?
Neha Kapoor: Thank you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: Describe your role in your last project.
Neha Kapoor: I uh developed a tool using employee engagement that automated a lot of manual work.
Interviewer: Can you walk me through a challenging problem you solved?
Neha Kapoor: I you know worked on projects using employee engagement, communication, recruitment.
Interviewer: What are your key strengths?
Neha Kapoor: My strengths are employee engagement and communication.
Interviewer: To begin, can you tell me about yourself?
Neha Kapoor: I graduated in Computer Science and have worked on projects involving employee engagement, communication.
Interviewer: How do you work with cross-functional teams?
Interviewer: That concludes our questions. Do you have anything to ask us?
Neha Kapoor: No, thank you. I look forward to hearing from you."
INT1046,Vivaan Joshi,34,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2023-04-14,"Vivaan Joshi: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: What is a weakness you are working on?
Candidate: Sometimes I get too focused on details, but I try to delegate.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: What is a weakness you are working on?
Vivaan Joshi: Sometimes I get too focused on details, but I try to delegate.
Interviewer: What are your key strengths?
Vivaan Joshi: I am detail-oriented and I communicate well with stakeholders.
Interviewer: Describe your role in your last project.
Vivaan Joshi: I led a project where we used data analysis to deliver a solution that improved metrics.
Interviewer: To begin, can you tell me about yourself?
Vivaan Joshi: I you know graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: What motivates you at work?
Vivaan Joshi: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Vivaan Joshi: My strengths are data analysis and sql.
Interviewer: What is a weakness you are working on?
Vivaan Joshi: I uh can be cautious with deadlines, and I'm working on prioritization.
Interviewer: Can you walk me through a challenging problem you solved?
Interviewer: That concludes our questions. Do you have anything to ask us?
Vivaan Joshi: No, thank you. I look forward to hearing from you."
INT1047,Ishita Reddy,28,Male,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2023-06-24,"Ishita Reddy: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: How do you approach learning a new skill?
Ishita Reddy: I learn by building small projects and iterating quickly.
Interviewer: Can you walk me through a challenging problem you solved?
Ishita Reddy: My last project involved java and cross-functional coordination.
Interviewer: How do you work with cross-functional teams?
Ishita Reddy: I well coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: Tell me about a recent technical/project you worked on.
Ishita Reddy: I so have hands-on experience with python and java.
Interviewer: What are your key strengths?
Ishita Reddy: My strengths are python and java.
Interviewer: Do you have any questions for us?
Ishita Reddy: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you work with cross-functional teams?
Ishita Reddy: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Which tools and technologies do you use?
Ishita Reddy: I use SQL and Excel for analysis and reporting.
Interviewer: What motivates you at work?
Candidate: In well the next 5 years, I aim to grow into a leadership role.
Interviewer: That concludes our questions. Do you have anything to ask us?
Ishita Reddy: Yes, I would like to know more about the team I’d be working with."
